id,priority,category,title,layer,issuer,rule_no,publish_date,effective_date,current_status,is_core,source_type,business_tags,source_url,local_path,text_path,file_type,downloaded_count,notes,errors
011,P0,03_证监会公募基金一般运作规则,公开募集开放式证券投资基金流动性风险管理规定,规范性文件,中国证监会,证监会公告〔2017〕12号,2017-08-31,2017-10-01,现行有效,是,正文页;附件PDF,流动性风险;巨额赎回;流动性工具;估值公允性,https://www.csrc.gov.cn/csrc/c101877/c1029552/content.shtml; https://www.csrc.gov.cn/csrc/c101877/c1029552/1029552/files/%E9%99%84%E4%BB%B6%EF%BC%9A%E3%80%8A%E5%85%AC%E5%BC%80%E5%8B%9F%E9%9B%86%E5%BC%80%E6%94%BE%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%91%E6%B5%81%E5%8A%A8%E6%80%A7%E9%A3%8E%E9%99%A9%E7%AE%A1%E7%90%86%E8%A7%84%E5%AE%9A%E3%80%8B.pdf,01_法规原文库\03_证监会公募基金一般运作规则\011_公开募集开放式证券投资基金流动性风险管理规定\011_公开募集开放式证券投资基金流动性风险管理规定_01_正文页.html; 01_法规原文库\03_证监会公募基金一般运作规则\011_公开募集开放式证券投资基金流动性风险管理规定\011_公开募集开放式证券投资基金流动性风险管理规定_02_附件PDF.pdf,02_文本抽取库\03_证监会公募基金一般运作规则\011_公开募集开放式证券投资基金流动性风险管理规定\011_公开募集开放式证券投资基金流动性风险管理规定_01_正文页.txt; 02_文本抽取库\03_证监会公募基金一般运作规则\011_公开募集开放式证券投资基金流动性风险管理规定\011_公开募集开放式证券投资基金流动性风险管理规定_02_附件PDF.txt,html; pdf,2,续跑时复用已下载文件,
012,P0,03_证监会公募基金一般运作规则,公开募集证券投资基金侧袋机制指引（试行）,规范性文件,中国证监会,证监会公告〔2020〕41号,2020-07-10,2020-08-01,现行有效,是,正文页;附件,侧袋机制;难估值资产;费用;信披;托管人职责,https://www.csrc.gov.cn/csrc/c101877/c1029533/content.shtml,01_法规原文库\03_证监会公募基金一般运作规则\012_公开募集证券投资基金侧袋机制指引（试行）\012_公开募集证券投资基金侧袋机制指引（试行）_01_正文页.html; 01_法规原文库\03_证监会公募基金一般运作规则\012_公开募集证券投资基金侧袋机制指引（试行）\012_公开募集证券投资基金侧袋机制指引（试行）_02_附件PDF.pdf,02_文本抽取库\03_证监会公募基金一般运作规则\012_公开募集证券投资基金侧袋机制指引（试行）\012_公开募集证券投资基金侧袋机制指引（试行）_01_正文页.txt; 02_文本抽取库\03_证监会公募基金一般运作规则\012_公开募集证券投资基金侧袋机制指引（试行）\012_公开募集证券投资基金侧袋机制指引（试行）_02_附件PDF.txt,html; pdf,2,续跑时复用已下载文件,
013,P0,03_证监会公募基金一般运作规则,公开募集证券投资基金风险准备金监督管理暂行办法,部门规章,中国证监会,证监会令第94号,2013-09-24,2014-01-01,现行有效,是,正文页;附件,风险准备金;托管人计提;风险补偿,https://www.csrc.gov.cn/csrc/c101895/c1037888/content.shtml; https://www.csrc.gov.cn/csrc/c106256/c1653975/1653975/files/57b202cc56a34e5c8eb704de8dbcc1e7.pdf,01_法规原文库\03_证监会公募基金一般运作规则\013_公开募集证券投资基金风险准备金监督管理暂行办法\013_公开募集证券投资基金风险准备金监督管理暂行办法_01_正文页.html; 01_法规原文库\03_证监会公募基金一般运作规则\013_公开募集证券投资基金风险准备金监督管理暂行办法\013_公开募集证券投资基金风险准备金监督管理暂行办法_02_附件PDF.pdf,02_文本抽取库\03_证监会公募基金一般运作规则\013_公开募集证券投资基金风险准备金监督管理暂行办法\013_公开募集证券投资基金风险准备金监督管理暂行办法_01_正文页.txt; 02_文本抽取库\03_证监会公募基金一般运作规则\013_公开募集证券投资基金风险准备金监督管理暂行办法\013_公开募集证券投资基金风险准备金监督管理暂行办法_02_附件PDF.txt,html; pdf,2,续跑时复用已下载文件,
014,P0,03_证监会公募基金一般运作规则,中国证监会关于证券投资基金估值业务的指导意见,规范性文件,中国证监会,证监会公告〔2017〕13号,2017-09-05,2017-09-05,现行有效,是,正文页,估值;估值复核;公允价值;估值责任,https://www.csrc.gov.cn/csrc/c101896/c1039133/content.shtml,01_法规原文库\03_证监会公募基金一般运作规则\014_中国证监会关于证券投资基金估值业务的指导意见\014_中国证监会关于证券投资基金估值业务的指导意见_01_正文页.html,02_文本抽取库\03_证监会公募基金一般运作规则\014_中国证监会关于证券投资基金估值业务的指导意见\014_中国证监会关于证券投资基金估值业务的指导意见_01_正文页.txt,html,1,续跑时复用已下载文件,
015,P1,03_证监会公募基金一般运作规则,关于基金投资非公开发行股票等流通受限证券有关问题的通知,规范性文件,中国证监会,证监基金字〔2006〕141号,2006-07-20,2006-07-20,现行有效,是,证监会法规库正文页,流通受限证券;估值;投资限制,https://neris.csrc.gov.cn/falvfagui/rdqsHeader/mainbody?navbarId=3&secFutrsLawId=4114755b94bf47c0a515385231bfa837,01_法规原文库\03_证监会公募基金一般运作规则\015_关于基金投资非公开发行股票等流通受限证券有关问题的通知\015_关于基金投资非公开发行股票等流通受限证券有关问题的通知_01_法规库正文页.html,02_文本抽取库\03_证监会公募基金一般运作规则\015_关于基金投资非公开发行股票等流通受限证券有关问题的通知\015_关于基金投资非公开发行股票等流通受限证券有关问题的通知_01_法规库正文页.txt,html,1,续跑时复用已下载文件,
016,P1,03_证监会公募基金一般运作规则,关于证券投资基金投资资产支持证券有关事项的通知,规范性文件,中国证监会,证监基金字〔2006〕93号,2006-05-14,2006-05-14,现行有效,是,公报PDF,资产支持证券;估值;披露;风险管理,https://www.csrc.gov.cn/csrc/c100024/c1492317/1492317/files/7a2e3df6cdbc4855aba258d78ecadc1e.pdf,01_法规原文库\03_证监会公募基金一般运作规则\016_关于证券投资基金投资资产支持证券有关事项的通知\016_关于证券投资基金投资资产支持证券有关事项的通知_01_公报PDF.pdf,02_文本抽取库\03_证监会公募基金一般运作规则\016_关于证券投资基金投资资产支持证券有关事项的通知\016_关于证券投资基金投资资产支持证券有关事项的通知_01_公报PDF.txt,pdf,1,已用证监会公报PDF保存正式正文；暂未定位到法规库独立正文页，但不再作为待核验事项。; 续跑时复用已下载文件,
017,P2,03_证监会公募基金一般运作规则,关于规范证券投资基金运作中证券交易行为的通知,规范性文件,中国证监会,证监发〔2001〕29号,2001-02-26,,历史失效,否,废止目录PDF,证券交易;历史规则,https://www.csrc.gov.cn/csrc/c101950/c1047975/1047975/files/%E9%99%84%E4%BB%B62%20%E4%B8%AD%E5%9B%BD%E8%AF%81%E7%9B%91%E4%BC%9A%E5%86%B3%E5%AE%9A%E5%BA%9F%E6%AD%A2%E7%9A%84%E8%A7%84%E8%8C%83%E6%80%A7%E6%96%87%E4%BB%B6.pdf,01_法规原文库\03_证监会公募基金一般运作规则\017_关于规范证券投资基金运作中证券交易行为的通知\017_关于规范证券投资基金运作中证券交易行为的通知_01_废止目录PDF.pdf,02_文本抽取库\03_证监会公募基金一般运作规则\017_关于规范证券投资基金运作中证券交易行为的通知\017_关于规范证券投资基金运作中证券交易行为的通知_01_废止目录PDF.txt,pdf,1,证监会废止目录已列明证监发〔2001〕29号相关基金交易行为文件被废止；保留为历史线索，不作为现行依据。; 续跑时复用已下载文件,
018,P2,03_证监会公募基金一般运作规则,关于完善证券投资基金交易席位制度有关问题的通知,规范性文件,中国证监会,证监基金字〔2007〕48号,2007-02-16,2017-04-01,历史失效,否,证监会法规库正文页,交易席位;佣金分仓;托管人监督;历史规则,https://neris.csrc.gov.cn/falvfagui/rdqsHeader/mainbody?navbarId=3&secFutrsLawId=7d18bc91053442cb82fbe07fa70f99e2,01_法规原文库\03_证监会公募基金一般运作规则\018_关于完善证券投资基金交易席位制度有关问题的通知\018_关于完善证券投资基金交易席位制度有关问题的通知_01_法规库正文页.html,02_文本抽取库\03_证监会公募基金一般运作规则\018_关于完善证券投资基金交易席位制度有关问题的通知\018_关于完善证券投资基金交易席位制度有关问题的通知_01_法规库正文页.txt,html,1,证监会法规库显示已被废止；现行交易费用规则另列; 续跑时复用已下载文件,
018B,P1,03_证监会公募基金一般运作规则,公开募集证券投资基金证券交易费用管理规定,规范性文件,中国证监会,,2024-04-19,2024-07-01,现行有效,是,正文页;附件,证券交易费用;佣金;交易管理;托管监督,https://www.csrc.gov.cn/csrc/c101954/c7475004/content.shtml,01_法规原文库\03_证监会公募基金一般运作规则\018B_公开募集证券投资基金证券交易费用管理规定\018B_公开募集证券投资基金证券交易费用管理规定_01_正文页.html,02_文本抽取库\03_证监会公募基金一般运作规则\018B_公开募集证券投资基金证券交易费用管理规定\018B_公开募集证券投资基金证券交易费用管理规定_01_正文页.txt,html,1,补充现行规则，用于替代已废止交易席位制度通知; 续跑时复用已下载文件,
019,P0,04_公募基金产品专项规则,货币市场基金监督管理办法,部门规章,中国证监会、中国人民银行,证监会令第120号,2015-12-17,2016-02-01,现行有效,是,附件PDF,货币基金;偏离度;流动性;快速赎回,https://www.csrc.gov.cn/csrc/c106256/c1654015/1654015/files/52c60ebbeb5642e08f9f629bb8ed190e.pdf,01_法规原文库\04_公募基金产品专项规则\019_货币市场基金监督管理办法\019_货币市场基金监督管理办法_01_附件PDF.pdf,02_文本抽取库\04_公募基金产品专项规则\019_货币市场基金监督管理办法\019_货币市场基金监督管理办法_01_附件PDF.txt,pdf,1,续跑时复用已下载文件,
020,P0,04_公募基金产品专项规则,公开募集证券投资基金运作指引第2号——基金中基金指引,规范性文件,中国证监会,证监会公告〔2016〕20号,2016-09-11,2016-09-11,现行有效,是,正文页,FOF;投资比例;穿透;关联交易,https://www.csrc.gov.cn/csrc/c101877/c1029555/content.shtml,01_法规原文库\04_公募基金产品专项规则\020_公开募集证券投资基金运作指引第2号——基金中基金指引\020_公开募集证券投资基金运作指引第2号——基金中基金指引_01_正文页.html,02_文本抽取库\04_公募基金产品专项规则\020_公开募集证券投资基金运作指引第2号——基金中基金指引\020_公开募集证券投资基金运作指引第2号——基金中基金指引_01_正文页.txt,html,1,续跑时复用已下载文件,
021,P1,04_公募基金产品专项规则,公开募集证券投资基金运作指引第1号——商品期货交易型开放式基金指引,规范性文件,中国证监会,证监会公告〔2014〕51号,2014-12-16,2014-12-16,现行有效,是,国务院公报正文页,商品期货ETF;保证金;估值;申赎,https://www.gov.cn/gongbao/content/2015/content_2843797.htm,01_法规原文库\04_公募基金产品专项规则\021_公开募集证券投资基金运作指引第1号——商品期货交易型开放式基金指引\021_公开募集证券投资基金运作指引第1号——商品期货交易型开放式基金指引_01_国务院公报正文页.html,02_文本抽取库\04_公募基金产品专项规则\021_公开募集证券投资基金运作指引第1号——商品期货交易型开放式基金指引\021_公开募集证券投资基金运作指引第1号——商品期货交易型开放式基金指引_01_国务院公报正文页.txt,html,1,已定位国务院公报正式正文；证监会官网新闻稿只作为发布线索。; 续跑时复用已下载文件,
022A,P1,04_公募基金产品专项规则,合格境内机构投资者境外证券投资管理试行办法,部门规章,中国证监会,证监会令第46号,2007-06-18,2007-07-05,现行有效,是,规章库正文页,QDII;境外投资;境外托管;外汇;信披,https://www.csrc.gov.cn/csrc/c106256/c1653919/content.shtml; https://www.csrc.gov.cn/csrc/c101932/c1044480/content.shtml,01_法规原文库\04_公募基金产品专项规则\022A_合格境内机构投资者境外证券投资管理试行办法\022A_合格境内机构投资者境外证券投资管理试行办法_01_正文页.html; 01_法规原文库\04_公募基金产品专项规则\022A_合格境内机构投资者境外证券投资管理试行办法\022A_合格境内机构投资者境外证券投资管理试行办法_02_正文页.html,02_文本抽取库\04_公募基金产品专项规则\022A_合格境内机构投资者境外证券投资管理试行办法\022A_合格境内机构投资者境外证券投资管理试行办法_01_正文页.txt; 02_文本抽取库\04_公募基金产品专项规则\022A_合格境内机构投资者境外证券投资管理试行办法\022A_合格境内机构投资者境外证券投资管理试行办法_02_正文页.txt,html,2,续跑时复用已下载文件,
022B,P1,04_公募基金产品专项规则,关于实施《合格境内机构投资者境外证券投资管理试行办法》有关问题的通知,规范性文件,中国证监会,证监发〔2007〕81号,2007-06-18,2007-07-05,现行有效,是,地方监管局转载官方页,QDII;境外托管;投资限制;估值;信披,https://www.csrc.gov.cn/shanghai/c105564/c1270195/content.shtml,01_法规原文库\04_公募基金产品专项规则\022B_关于实施《合格境内机构投资者境外证券投资管理试行办法》有关问题的通知\022B_关于实施《合格境内机构投资者境外证券投资管理试行办法》有关问题的通知_01_地方监管局转载官方页.html,02_文本抽取库\04_公募基金产品专项规则\022B_关于实施《合格境内机构投资者境外证券投资管理试行办法》有关问题的通知\022B_关于实施《合格境内机构投资者境外证券投资管理试行办法》有关问题的通知_01_地方监管局转载官方页.txt,html,1,本轮先收上海监管局官方转载页，后续可追证监会法规库独立正文; 续跑时复用已下载文件,
023,P1,04_公募基金产品专项规则,公开募集基础设施证券投资基金指引（试行）,规范性文件,中国证监会,证监会公告〔2020〕54号,2020-08-07,2020-08-07,现行有效,是,正文页;附件,公募REITs;基础设施基金;托管;运营,https://www.csrc.gov.cn/csrc/c101877/c1029531/content.shtml,01_法规原文库\04_公募基金产品专项规则\023_公开募集基础设施证券投资基金指引（试行）\023_公开募集基础设施证券投资基金指引（试行）_01_正文页.html,02_文本抽取库\04_公募基金产品专项规则\023_公开募集基础设施证券投资基金指引（试行）\023_公开募集基础设施证券投资基金指引（试行）_01_正文页.txt,html,1,续跑时复用已下载文件,
025A,P1,05A_税法与公募基金增值税规则,中华人民共和国增值税法,法律,全国人民代表大会常务委员会,,2024-12-25,2026-01-01,现行有效,否,税务总局法规库正文页,应税交易;存款利息;免税项目;税收优惠,https://fgk.chinatax.gov.cn/zcfgk/c100009/c5237365/content.html,01_法规原文库\05A_税法与公募基金增值税规则\025A_中华人民共和国增值税法\025A_中华人民共和国增值税法_01_税务总局法规库正文页.html; 01_法规原文库\05A_税法与公募基金增值税规则\025A_中华人民共和国增值税法\025A_中华人民共和国增值税法_附件01_【下载】.html,02_文本抽取库\05A_税法与公募基金增值税规则\025A_中华人民共和国增值税法\025A_中华人民共和国增值税法_01_税务总局法规库正文页.txt; 02_文本抽取库\05A_税法与公募基金增值税规则\025A_中华人民共和国增值税法\025A_中华人民共和国增值税法_附件01_【下载】.txt,html,2,续跑时复用已下载文件,
025B,P1,05A_税法与公募基金增值税规则,中华人民共和国增值税法实施条例,行政法规,国务院,国务院令第826号,2025-12-25,2026-01-01,现行有效,否,税务总局法规库正文页,金融服务;计税;征管衔接,https://fgk.chinatax.gov.cn/zcfgk/c100010/c5246349/content.html,01_法规原文库\05A_税法与公募基金增值税规则\025B_中华人民共和国增值税法实施条例\025B_中华人民共和国增值税法实施条例_01_税务总局法规库正文页.html; 01_法规原文库\05A_税法与公募基金增值税规则\025B_中华人民共和国增值税法实施条例\025B_中华人民共和国增值税法实施条例_附件01_【下载】.html,02_文本抽取库\05A_税法与公募基金增值税规则\025B_中华人民共和国增值税法实施条例\025B_中华人民共和国增值税法实施条例_01_税务总局法规库正文页.txt; 02_文本抽取库\05A_税法与公募基金增值税规则\025B_中华人民共和国增值税法实施条例\025B_中华人民共和国增值税法实施条例_附件01_【下载】.txt,html,2,续跑时复用已下载文件,
025C,P1,05A_税法与公募基金增值税规则,财政部 税务总局关于增值税征税具体范围有关事项的公告,税收规范性文件,财政部、税务总局,财政部 税务总局公告2026年第9号,2026-01-30,2026-01-01,现行有效,否,税务总局法规库正文页,贷款服务;金融商品持有期间收益;征税范围,https://fgk.chinatax.gov.cn/zcfgk/c102416/c5247431/content.html,01_法规原文库\05A_税法与公募基金增值税规则\025C_财政部税务总局关于增值税征税具体范围有关事项的公告\025C_财政部税务总局关于增值税征税具体范围有关事项的公告_01_税务总局法规库正文页.html; 01_法规原文库\05A_税法与公募基金增值税规则\025C_财政部税务总局关于增值税征税具体范围有关事项的公告\025C_财政部税务总局关于增值税征税具体范围有关事项的公告_附件04_【下载】.html,02_文本抽取库\05A_税法与公募基金增值税规则\025C_财政部税务总局关于增值税征税具体范围有关事项的公告\025C_财政部税务总局关于增值税征税具体范围有关事项的公告_01_税务总局法规库正文页.txt; 02_文本抽取库\05A_税法与公募基金增值税规则\025C_财政部税务总局关于增值税征税具体范围有关事项的公告\025C_财政部税务总局关于增值税征税具体范围有关事项的公告_附件04_【下载】.txt,html,2,续跑时复用已下载文件,
025D,P1,05A_税法与公募基金增值税规则,财政部 税务总局关于资管产品增值税有关问题的通知,税收规范性文件,财政部、税务总局,财税〔2017〕56号,2017-06-30,2018-01-01,现行有效,否,税务总局法规库正文页,资管产品运营业务;简易计税;3%征收率;管理人范围;公募基金,https://fgk.chinatax.gov.cn/zcfgk/c102416/c5202526/content.html,01_法规原文库\05A_税法与公募基金增值税规则\025D_财政部税务总局关于资管产品增值税有关问题的通知\025D_财政部税务总局关于资管产品增值税有关问题的通知_01_税务总局法规库正文页.html; 01_法规原文库\05A_税法与公募基金增值税规则\025D_财政部税务总局关于资管产品增值税有关问题的通知\025D_财政部税务总局关于资管产品增值税有关问题的通知_附件01_【下载】.html,02_文本抽取库\05A_税法与公募基金增值税规则\025D_财政部税务总局关于资管产品增值税有关问题的通知\025D_财政部税务总局关于资管产品增值税有关问题的通知_01_税务总局法规库正文页.txt; 02_文本抽取库\05A_税法与公募基金增值税规则\025D_财政部税务总局关于资管产品增值税有关问题的通知\025D_财政部税务总局关于资管产品增值税有关问题的通知_附件01_【下载】.txt,html,2,采用税务总局政策法规库稳定正文页; 续跑时复用已下载文件,
025D1,P2,05A_税法与公募基金增值税规则,财政部 税务总局关于租入固定资产进项税额抵扣等增值税政策的通知,税收规范性文件,财政部、税务总局,财税〔2017〕90号,2017-12-25,2018-01-01,现行有效,否,税务系统官方转载,资管产品运营业务销售额;贷款服务;金融商品转让;债券估值,https://guangdong.chinatax.gov.cn/gdsw/zjfg/2018-01/05/content_3c4a8e382145466f92331abc870e4f97.shtml,01_法规原文库\05A_税法与公募基金增值税规则\025D1_财政部税务总局关于租入固定资产进项税额抵扣等增值税政策的通知\025D1_财政部税务总局关于租入固定资产进项税额抵扣等增值税政策的通知_01_税务系统官方转载.html,02_文本抽取库\05A_税法与公募基金增值税规则\025D1_财政部税务总局关于租入固定资产进项税额抵扣等增值税政策的通知\025D1_财政部税务总局关于租入固定资产进项税额抵扣等增值税政策的通知_01_税务系统官方转载.txt,html,1,作为财税〔2017〕56号配套口径保存，重点关注第五条; 续跑时复用已下载文件,
025E,P1,05A_税法与公募基金增值税规则,财政部 税务总局关于增值税法施行后增值税优惠政策衔接事项的公告,税收规范性文件,财政部、税务总局,财政部 税务总局公告2026年第10号,2026-01-30,2026-01-01,现行有效,否,税务总局法规库正文页,金融同业往来利息;同业存单;买入返售;优惠衔接,https://fgk.chinatax.gov.cn/zcfgk/c102416/c5247434/content.html,01_法规原文库\05A_税法与公募基金增值税规则\025E_财政部税务总局关于增值税法施行后增值税优惠政策衔接事项的公告\025E_财政部税务总局关于增值税法施行后增值税优惠政策衔接事项的公告_01_税务总局法规库正文页.html; 01_法规原文库\05A_税法与公募基金增值税规则\025E_财政部税务总局关于增值税法施行后增值税优惠政策衔接事项的公告\025E_财政部税务总局关于增值税法施行后增值税优惠政策衔接事项的公告_附件01_【下载】.html,02_文本抽取库\05A_税法与公募基金增值税规则\025E_财政部税务总局关于增值税法施行后增值税优惠政策衔接事项的公告\025E_财政部税务总局关于增值税法施行后增值税优惠政策衔接事项的公告_01_税务总局法规库正文页.txt; 02_文本抽取库\05A_税法与公募基金增值税规则\025E_财政部税务总局关于增值税法施行后增值税优惠政策衔接事项的公告\025E_财政部税务总局关于增值税法施行后增值税优惠政策衔接事项的公告_附件01_【下载】.txt,html,2,续跑时复用已下载文件,
