id,legacy_id,priority,category,title,layer,doc_type,issuer,rule_no,publish_date,effective_date,current_status,record_role,ingest_status,is_core,source_type,product_tags,business_line_tags,market_tags,business_tags,catalog_paths,key_obligations,source_url,local_path,text_path,file_type,downloaded_count,notes,errors
TB011,TB011,P1,A_法源与监管总则/A-01上位法律/A-01-01金融与证券基金基础法律,中华人民共和国企业破产法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,否,官方入口; 国家法律法规数据库,,,,法律; A,A_法源与监管总则 > A-01 上位法律 > A-01-01 金融与证券基金基础法律,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB011_中华人民共和国企业破产法\TB011_中华人民共和国企业破产法_国家法律法规数据库.pdf; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB011_中华人民共和国企业破产法\TB011_中华人民共和国企业破产法_国家法律法规数据库.docx,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB011_中华人民共和国企业破产法\TB011_中华人民共和国企业破产法_国家法律法规数据库.txt,docx; pdf,2,国家法律法规数据库pdf下载返回非文件内容，已跳过; 国家法律法规数据库docx下载返回非文件内容，已跳过; 复用旧公募基金托管库原文/文本; 从国家法律法规数据库下载; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB012,TB012,P0,A_法源与监管总则/A-01上位法律/A-01-02民商事、合同财产与司法规则,中华人民共和国民法典,法律; 司法解释,法律; 司法解释,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,是,国家法律法规数据库,,合同法务,,法律; A; 司法解释; 合同法务,A_法源与监管总则 > A-01 上位法律 > A-01-02 民商事、合同财产与司法规则,最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB012_中华人民共和国民法典\TB012_中华人民共和国民法典_国家法律法规数据库.docx; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB012_中华人民共和国民法典\TB012_中华人民共和国民法典_国家法律法规数据库.pdf,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB012_中华人民共和国民法典\TB012_中华人民共和国民法典_国家法律法规数据库.txt,docx; pdf,2,复用已入库国家法律法规数据库原文; 复用旧公募基金托管库原文/文本; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB013,TB013,P1,A_法源与监管总则/A-01上位法律/A-01-02民商事、合同财产与司法规则,基金财产独立性、信托财产独立性、托管账户冻结执行、资管合同纠纷相关司法解释和案例,司法解释/案例,司法解释/案例,最高人民法院,,,,待核验,混合资料,待拆分核验,否,官方入口,信托,账户保管; 合同法务,,司法解释/案例; A; 信托; 账户保管; 合同法务,A_法源与监管总则 > A-01 上位法律 > A-01-02 民商事、合同财产与司法规则,,https://www.nfra.gov.cn/; https://flk.npc.gov.cn/; https://www.csrc.gov.cn/,,,,0,官方入口仅记入台账；不作为本地正式原文; 尚无本地正式原文，待月度巡检; 分类口径：命中误分类修正清单：同时包含规则和辅助资料; 规则集合不得以辅助资料状态结案；需拆分具体规则后逐条入库,
TB014,TB014,P1,A_法源与监管总则/A-01上位法律/A-01-02民商事、合同财产与司法规则,中华人民共和国电子签名法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,否,官方入口; 国家法律法规数据库,,合同法务,,法律; A; 合同法务,A_法源与监管总则 > A-01 上位法律 > A-01-02 民商事、合同财产与司法规则,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB014_中华人民共和国电子签名法\TB014_中华人民共和国电子签名法_国家法律法规数据库.pdf; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB014_中华人民共和国电子签名法\TB014_中华人民共和国电子签名法_国家法律法规数据库.docx,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB014_中华人民共和国电子签名法\TB014_中华人民共和国电子签名法_国家法律法规数据库.txt,docx; pdf,2,国家法律法规数据库pdf下载返回非文件内容，已跳过; 国家法律法规数据库docx下载返回非文件内容，已跳过; 复用旧公募基金托管库原文/文本; 从国家法律法规数据库下载; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB015,TB015,P1,A_法源与监管总则/A-01上位法律/A-01-02民商事、合同财产与司法规则,中华人民共和国仲裁法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,否,官方入口; 国家法律法规数据库,,合同法务,,法律; A; 合同法务,A_法源与监管总则 > A-01 上位法律 > A-01-02 民商事、合同财产与司法规则,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB015_中华人民共和国仲裁法\TB015_中华人民共和国仲裁法_国家法律法规数据库.pdf; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB015_中华人民共和国仲裁法\TB015_中华人民共和国仲裁法_国家法律法规数据库.docx,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB015_中华人民共和国仲裁法\TB015_中华人民共和国仲裁法_国家法律法规数据库.txt,docx; pdf,2,国家法律法规数据库pdf下载返回非文件内容，已跳过; 国家法律法规数据库docx下载返回非文件内容，已跳过; 复用旧公募基金托管库原文/文本; 从国家法律法规数据库下载; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB016,TB016,P1,A_法源与监管总则/A-01上位法律/A-01-02民商事、合同财产与司法规则,中华人民共和国民事诉讼法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,否,官方入口; 国家法律法规数据库,,合同法务,,法律; A; 合同法务,A_法源与监管总则 > A-01 上位法律 > A-01-02 民商事、合同财产与司法规则,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB016_中华人民共和国民事诉讼法\TB016_中华人民共和国民事诉讼法_国家法律法规数据库.pdf; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB016_中华人民共和国民事诉讼法\TB016_中华人民共和国民事诉讼法_国家法律法规数据库.docx,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-02民商事、合同财产与司法规则\TB016_中华人民共和国民事诉讼法\TB016_中华人民共和国民事诉讼法_国家法律法规数据库.txt,docx; pdf,2,国家法律法规数据库pdf下载返回非文件内容，已跳过; 国家法律法规数据库docx下载返回非文件内容，已跳过; 复用旧公募基金托管库原文/文本; 从国家法律法规数据库下载; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB017,TB017,P0,A_法源与监管总则/A-01上位法律/A-01-03反洗钱、数据安全与金融消费者保护,中华人民共和国反洗钱法,法律; 监管规则,法律; 监管规则,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,是,国家法律法规数据库,,IT数据; 反洗钱; 准入; 前台,,法律; A; 监管规则; B; IT数据; 反洗钱; 准入; 前台,A_法源与监管总则 > A-01 上位法律 > A-01-03 反洗钱、数据安全与金融消费者保护; B_机构治理与核心业务条线 > B-02 前台受理、客户准入与产品准入,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB017_中华人民共和国反洗钱法\TB017_中华人民共和国反洗钱法_国家法律法规数据库.docx; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB017_中华人民共和国反洗钱法\TB017_中华人民共和国反洗钱法_国家法律法规数据库.pdf,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB017_中华人民共和国反洗钱法\TB017_中华人民共和国反洗钱法_国家法律法规数据库.txt,docx; pdf,2,复用已入库国家法律法规数据库原文; 复用旧公募基金托管库原文/文本; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB018,TB018,P0,A_法源与监管总则/A-01上位法律/A-01-03反洗钱、数据安全与金融消费者保护,中华人民共和国网络安全法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,是,国家法律法规数据库,,IT数据; 反洗钱,,法律; A; IT数据; 反洗钱,A_法源与监管总则 > A-01 上位法律 > A-01-03 反洗钱、数据安全与金融消费者保护,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB018_中华人民共和国网络安全法\TB018_中华人民共和国网络安全法_国家法律法规数据库.docx; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB018_中华人民共和国网络安全法\TB018_中华人民共和国网络安全法_国家法律法规数据库.pdf,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB018_中华人民共和国网络安全法\TB018_中华人民共和国网络安全法_国家法律法规数据库.txt,docx; pdf,2,复用已入库国家法律法规数据库原文; 复用旧公募基金托管库原文/文本; 分类口径：未命中规则关键词，暂按辅助资料待复核; 分类口径：已有正式原文且状态为现行有效,
TB019,TB019,P0,A_法源与监管总则/A-01上位法律/A-01-03反洗钱、数据安全与金融消费者保护,中华人民共和国数据安全法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,是,国家法律法规数据库,,IT数据; 反洗钱,,法律; A; IT数据; 反洗钱,A_法源与监管总则 > A-01 上位法律 > A-01-03 反洗钱、数据安全与金融消费者保护,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB019_中华人民共和国数据安全法\TB019_中华人民共和国数据安全法_国家法律法规数据库.docx; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB019_中华人民共和国数据安全法\TB019_中华人民共和国数据安全法_国家法律法规数据库.pdf,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB019_中华人民共和国数据安全法\TB019_中华人民共和国数据安全法_国家法律法规数据库.txt,docx; pdf,2,复用已入库国家法律法规数据库原文; 复用旧公募基金托管库原文/文本; 分类口径：未命中规则关键词，暂按辅助资料待复核; 分类口径：已有正式原文且状态为现行有效,
TB020,TB020,P0,A_法源与监管总则/A-01上位法律/A-01-03反洗钱、数据安全与金融消费者保护,中华人民共和国个人信息保护法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,是,国家法律法规数据库,,IT数据; 反洗钱,,法律; A; IT数据; 反洗钱,A_法源与监管总则 > A-01 上位法律 > A-01-03 反洗钱、数据安全与金融消费者保护,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB020_中华人民共和国个人信息保护法\TB020_中华人民共和国个人信息保护法_国家法律法规数据库.docx; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB020_中华人民共和国个人信息保护法\TB020_中华人民共和国个人信息保护法_国家法律法规数据库.pdf,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB020_中华人民共和国个人信息保护法\TB020_中华人民共和国个人信息保护法_国家法律法规数据库.txt,docx; pdf,2,复用已入库国家法律法规数据库原文; 复用旧公募基金托管库原文/文本; 分类口径：未命中规则关键词，暂按辅助资料待复核; 分类口径：已有正式原文且状态为现行有效,
TB021,TB021,P1,A_法源与监管总则/A-01上位法律/A-01-03反洗钱、数据安全与金融消费者保护,中华人民共和国消费者权益保护法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,否,官方入口; 国家法律法规数据库,,IT数据; 反洗钱,,法律; A; IT数据; 反洗钱,A_法源与监管总则 > A-01 上位法律 > A-01-03 反洗钱、数据安全与金融消费者保护,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB021_中华人民共和国消费者权益保护法\TB021_中华人民共和国消费者权益保护法_国家法律法规数据库.pdf; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB021_中华人民共和国消费者权益保护法\TB021_中华人民共和国消费者权益保护法_国家法律法规数据库.docx,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB021_中华人民共和国消费者权益保护法\TB021_中华人民共和国消费者权益保护法_国家法律法规数据库.txt,docx; pdf,2,国家法律法规数据库pdf下载返回非文件内容，已跳过; 国家法律法规数据库docx下载返回非文件内容，已跳过; 复用旧公募基金托管库原文/文本; 从国家法律法规数据库下载; 分类口径：未命中规则关键词，暂按辅助资料待复核; 分类口径：已有正式原文且状态为现行有效,
TB022,TB022,P1,A_法源与监管总则/A-01上位法律/A-01-03反洗钱、数据安全与金融消费者保护,中华人民共和国密码法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,否,官方入口; 国家法律法规数据库,,IT数据; 反洗钱,,法律; A; IT数据; 反洗钱,A_法源与监管总则 > A-01 上位法律 > A-01-03 反洗钱、数据安全与金融消费者保护,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB022_中华人民共和国密码法\TB022_中华人民共和国密码法_国家法律法规数据库.pdf; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB022_中华人民共和国密码法\TB022_中华人民共和国密码法_国家法律法规数据库.docx,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-03反洗钱、数据安全与金融消费者保护\TB022_中华人民共和国密码法\TB022_中华人民共和国密码法_国家法律法规数据库.txt,docx; pdf,2,国家法律法规数据库pdf下载返回非文件内容，已跳过; 国家法律法规数据库docx下载返回非文件内容，已跳过; 复用旧公募基金托管库原文/文本; 从国家法律法规数据库下载; 分类口径：未命中规则关键词，暂按辅助资料待复核; 分类口径：已有正式原文且状态为现行有效,
